Algo,Size,Run,Energy_J,Time_s
matmul_plain,512,1,0,0
matmul_plain,512,2,0,0
matmul_plain,512,3,0,0
matmul_plain,512,4,0,0
matmul_plain,512,5,0,0
matmul_plain,1024,1,0,0
matmul_plain,1024,2,0,0
matmul_plain,1024,3,0,0
matmul_plain,1024,4,0,0
matmul_plain,1024,5,0,0
matmul_plain,2048,1,0,0
matmul_plain,2048,2,0,0
matmul_plain,2048,3,0,0
matmul_plain,2048,4,0,0
matmul_plain,2048,5,0,0
matmul_zfp,512,1,0,0
matmul_zfp,512,2,0,0
matmul_zfp,512,3,0,0
matmul_zfp,512,4,0,0
matmul_zfp,512,5,0,0
matmul_zfp,1024,1,0,0
matmul_zfp,1024,2,0,0
matmul_zfp,1024,3,0,0
matmul_zfp,1024,4,0,0
matmul_zfp,1024,5,0,0
matmul_zfp,2048,1,0,0
matmul_zfp,2048,2,0,0
matmul_zfp,2048,3,0,0
matmul_zfp,2048,4,0,0
matmul_zfp,2048,5,0,0
matmul_sz,512,1,0,0
matmul_sz,512,2,0,0
matmul_sz,512,3,0,0
matmul_sz,512,4,0,0
matmul_sz,512,5,0,0
matmul_sz,1024,1,0,0
matmul_sz,1024,2,0,0
matmul_sz,1024,3,0,0
matmul_sz,1024,4,0,0
matmul_sz,1024,5,0,0
matmul_sz,2048,1,0,0
matmul_sz,2048,2,0,0
matmul_sz,2048,3,0,0
matmul_sz,2048,4,0,0
matmul_sz,2048,5,0,0
